trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
16002540,07:25:00,07:25:00,1377,12,0,0
16002540,07:26:00,07:26:00,1378,13,0,0
16002540,07:27:00,07:27:00,1379,14,0,0
16002540,07:28:00,07:28:00,1380,15,0,0
16002540,07:28:00,07:28:00,1381,16,0,0
16002540,07:29:00,07:29:00,1587,17,0,0
16002540,07:31:00,07:31:00,1592,18,0,0
16002540,07:32:00,07:32:00,5562,19,0,0
16002540,07:35:00,07:35:00,7980,20,0,0
16002541,07:40:00,07:40:00,7980,0,0,0
16002541,07:41:00,07:41:00,5601,1,0,0
16002541,07:42:00,07:42:00,1383,2,0,0
16002541,07:44:00,07:44:00,1593,3,0,0
16002541,07:44:00,07:44:00,1382,4,0,0
16002541,07:45:00,07:45:00,1978,5,0,0
16002541,07:46:00,07:46:00,7089,6,0,0
16002541,07:47:00,07:47:00,1979,7,0,0
16002541,07:49:00,07:49:00,1980,8,0,0
16002541,07:49:00,07:49:00,1981,9,0,0
16002541,07:50:00,07:50:00,1982,10,0,0
16002541,07:52:00,07:52:00,1983,11,0,0
16002541,07:53:00,07:53:00,1984,12,0,0
16002541,07:54:00,07:54:00,1985,13,0,0
16002541,07:56:00,07:56:00,1353,14,0,0
16002541,07:59:00,07:59:00,2001,15,0,0
16002541,08:00:00,08:00:00,2003,16,0,0
16002541,08:03:00,08:03:00,1911,17,0,0
16002541,08:05:00,08:05:00,1297,18,0,0
16002542,08:10:00,08:10:00,1297,0,0,0
16002542,08:11:00,08:11:00,7149,1,0,0
16002542,08:11:00,08:11:00,1564,2,0,0
16002542,08:14:00,08:14:00,2004,3,0,0
16002542,08:15:00,08:15:00,2002,4,0,0
16002542,08:18:00,08:18:00,1302,5,0,0
16002542,08:19:00,08:19:00,1976,6,0,0
16002542,08:20:00,08:20:00,1977,7,0,0
16002542,08:21:00,08:21:00,1373,8,0,0
16002542,08:22:00,08:22:00,1374,9,0,0
16002542,08:23:00,08:23:00,1375,10,0,0
16002542,08:24:00,08:24:00,1376,11,0,0
16002542,08:25:00,08:25:00,1377,12,0,0
16002542,08:26:00,08:26:00,1378,13,0,0
16002542,08:27:00,08:27:00,1379,14,0,0
16002542,08:28:00,08:28:00,1380,15,0,0
16002542,08:28:00,08:28:00,1381,16,0,0
16002542,08:29:00,08:29:00,1587,17,0,0
16002542,08:31:00,08:31:00,1592,18,0,0
16002542,08:32:00,08:32:00,5562,19,0,0
16002542,08:35:00,08:35:00,7980,20,0,0
16002543,08:45:00,08:45:00,7980,0,0,0
16002543,08:46:00,08:46:00,5601,1,0,0
16002543,08:47:00,08:47:00,1383,2,0,0
16002543,08:49:00,08:49:00,1593,3,0,0
16002543,08:49:00,08:49:00,1382,4,0,0
16002543,08:50:00,08:50:00,1978,5,0,0
16002543,08:51:00,08:51:00,7089,6,0,0
16002543,08:52:00,08:52:00,1979,7,0,0
16002543,08:54:00,08:54:00,1980,8,0,0
16002543,08:54:00,08:54:00,1981,9,0,0
16002543,08:55:00,08:55:00,1982,10,0,0
16002543,08:57:00,08:57:00,1983,11,0,0
16002543,08:58:00,08:58:00,1984,12,0,0
16002543,08:59:00,08:59:00,1985,13,0,0
16002543,09:01:00,09:01:00,1353,14,0,0
16002543,09:04:00,09:04:00,2001,15,0,0
16002543,09:05:00,09:05:00,2003,16,0,0
16002543,09:08:00,09:08:00,1911,17,0,0
16002543,09:10:00,09:10:00,1297,18,0,0
16002544,12:00:00,12:00:00,1297,0,0,0
16002544,12:01:00,12:01:00,7149,1,0,0
16002544,12:02:00,12:02:00,1564,2,0,0
16002544,12:05:00,12:05:00,2004,3,0,0
16002544,12:06:00,12:06:00,2002,4,0,0
16002544,12:10:00,12:10:00,1302,5,0,0
16002544,12:11:00,12:11:00,1976,6,0,0
16002544,12:13:00,12:13:00,1977,7,0,0
16002544,12:14:00,12:14:00,1373,8,0,0
16002544,12:15:00,12:15:00,1374,9,0,0
16002544,12:16:00,12:16:00,1375,10,0,0
16002544,12:17:00,12:17:00,1376,11,0,0
16002544,12:18:00,12:18:00,1377,12,0,0
16002544,12:20:00,12:20:00,1378,13,0,0
16002544,12:21:00,12:21:00,1379,14,0,0
16002544,12:21:00,12:21:00,1380,15,0,0
16002544,12:22:00,12:22:00,1381,16,0,0
16002544,12:23:00,12:23:00,1587,17,0,0
16002544,12:26:00,12:26:00,1592,18,0,0
16002544,12:27:00,12:27:00,5562,19,0,0
16002544,12:30:00,12:30:00,7980,20,0,0
16002545,12:35:00,12:35:00,7980,0,0,0
16002545,12:36:00,12:36:00,5601,1,0,0
16002545,12:37:00,12:37:00,1383,2,0,0
16002545,12:39:00,12:39:00,1593,3,0,0
16002545,12:39:00,12:39:00,1382,4,0,0
16002545,12:40:00,12:40:00,1978,5,0,0
16002545,12:41:00,12:41:00,7089,6,0,0
16002545,12:42:00,12:42:00,1979,7,0,0
16002545,12:44:00,12:44:00,1980,8,0,0
16002545,12:44:00,12:44:00,1981,9,0,0
16002545,12:45:00,12:45:00,1982,10,0,0
16002545,12:47:00,12:47:00,1983,11,0,0
16002545,12:48:00,12:48:00,1984,12,0,0
16002545,12:49:00,12:49:00,1985,13,0,0
16002545,12:51:00,12:51:00,1353,14,0,0
16002545,12:54:00,12:54:00,2001,15,0,0
16002545,12:55:00,12:55:00,2003,16,0,0
16002545,12:58:00,12:58:00,1911,17,0,0
16002545,13:00:00,13:00:00,1297,18,0,0
16002546,13:05:00,13:05:00,1297,0,0,0
16002546,13:06:00,13:06:00,7149,1,0,0
16002546,13:07:00,13:07:00,1564,2,0,0
16002546,13:10:00,13:10:00,2004,3,0,0
16002546,13:11:00,13:11:00,2002,4,0,0
16002546,13:15:00,13:15:00,1302,5,0,0
16002546,13:16:00,13:16:00,1976,6,0,0
16002546,13:18:00,13:18:00,1977,7,0,0
16002546,13:19:00,13:19:00,1373,8,0,0
16002546,13:20:00,13:20:00,1374,9,0,0
16002546,13:21:00,13:21:00,1375,10,0,0
16002546,13:22:00,13:22:00,1376,11,0,0
16002546,13:23:00,13:23:00,1377,12,0,0
16002546,13:25:00,13:25:00,1378,13,0,0
16002546,13:26:00,13:26:00,1379,14,0,0
16002546,13:26:00,13:26:00,1380,15,0,0
16002546,13:27:00,13:27:00,1381,16,0,0
16002546,13:28:00,13:28:00,1587,17,0,0
16002546,13:31:00,13:31:00,1592,18,0,0
16002546,13:32:00,13:32:00,5562,19,0,0
16002546,13:35:00,13:35:00,7980,20,0,0
16002547,13:40:00,13:40:00,7980,0,0,0
16002547,13:41:00,13:41:00,5601,1,0,0
16002547,13:42:00,13:42:00,1383,2,0,0
16002547,13:44:00,13:44:00,1593,3,0,0
16002547,13:44:00,13:44:00,1382,4,0,0
16002547,13:45:00,13:45:00,1978,5,0,0
